영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
7년의 밤,Seven Years of Night,2018,한국,"스릴러,드라마","감독,시나리오(각본)-각본",3969337524.0,528007.0,3969337524.0,528007.0
"광해, 왕이 된 남자",Masquerade,2012,한국,"사극,드라마","감독,각색",88900208769.0,12319542.0,88913283469.0,12324062.0
그대를 사랑합니다,Late Blossom,2010,한국,드라마,"감독,시나리오(각본),편집",12040035000.0,1645126.0,12051399000.0,1649407.0
사랑을 놓치다,Lost In Love,2006,한국,"멜로/로맨스,드라마","감독,시나리오(각본)",0.0,529138.0,2961686000.0,468225.0
마파도,Mapado: Island of Fortunes,2004,한국,코미디,"감독,각색",0.0,3090467.0,16751202503.0,2636857.0
