영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
택시운전사,A Taxi Driver,2017,한국,드라마,감독,95855737149,12186684,95871631649.0,12189706.0
고지전,The Front Line,2011,한국,"드라마,전쟁",감독,21968557600,2945137,21968680600.0,2945151.0
의형제,Secret Reunion,2009,한국,"드라마,액션","감독,각색",40800867602,5507106,40154381000.0,5416923.0
영화는 영화다,Rough Cut,2008,한국,"액션,드라마,범죄","감독,각색",8943849000,1307688,8967441000.0,1311118.0
