영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
강철비2: 정상회담,Steel Rain2: Summit,2019,한국,"드라마,액션","감독,시나리오(각본),기획,제작,투자-공동투자",14655366110,1790797,14664106110,1791843
강철비,Steel Rain,2017,한국,"액션,드라마","감독,시나리오(각본)-각본,기획",35489576466,4452740,35490646466,4452900
변호인,The Attorney,2013,한국,드라마,"감독,시나리오(각본)-각본",82871759300,11374610,82876713788,11375399
