영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
캐시트럭,Wrath of Man,2021,미국,액션,감독,2157864790.0,227065.0,2182507790.0,231992.0
젠틀맨,The Gentlemen,2020,미국,"범죄,액션",감독,665658710.0,81482.0,665658710.0,81482.0
알라딘,Aladdin,2018,미국,"어드벤처,가족,판타지",감독,106983620359.0,12555894.0,109041960039.0,12797927.0
킹 아서: 제왕의 검,King Arthur: Legend of the Sword,2017,"영국,호주,미국","판타지,액션,어드벤처",감독,3373678655.0,415714.0,3373678655.0,415714.0
맨 프롬 UNCLE,The Man From U.N.C.L.E.,2015,미국,"액션,어드벤처,코미디",감독,846390353.0,108551.0,846390353.0,108551.0
셜록홈즈 : 그림자 게임,Sherlock Holmes: A Game of Shadows,2011,미국,"액션,미스터리",감독,16670913500.0,2239156.0,16670913500.0,2239156.0
셜록 홈즈,Sherlock Holmes,2009,"미국,영국","미스터리,범죄,어드벤처",감독,16207513113.0,2207751.0,16036809500.0,2184425.0
리볼버,Revolver,2005,영국,"범죄,드라마",감독,15564500.0,1597.0,15564500.0,1597.0
