영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
이웃사촌,Best Friend,2020,한국,"드라마,코미디","감독,제작,시나리오(각본)",3709121750,431559,3709121750,431559
7번방의 선물,Miracle in Cell No.7,2012,한국,"코미디,드라마","감독,시나리오(각본),기획",91431914670,12811206,91437368170,12812144
챔프,Champ,2011,한국,드라마,"감독,시나리오(각본),프로듀서-기획",3850214500,534752,3850241300,535657
각설탕,Lump of Sugar,2006,한국,드라마,"감독,시나리오(각본)",0,1446820,7631785700,1265508
그놈은 멋있었다,He was cool,2004,한국,코미디,"감독,단역-체육 선생님역,시나리오(각본)",0,800000,2309055500,372591
