영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
외계+인 1부,Alienoid,2022.0,한국,"액션,판타지,SF",감독,15987826548.0,1538504.0,15995553548.0,1539362.0
암살,Assassination,2015.0,한국,"액션,드라마","감독,시나리오(각본)-각본,제작",98463132781.0,12705700.0,98469385781.0,12706947.0
도둑들,The Thieves,2012.0,"한국,홍콩","액션,범죄","감독,시나리오(각본)-각본",93665568500.0,12983330.0,93672497700.0,12984701.0
전우치,Jeon Woochi: The Taoist Wizard,2009.0,한국,"액션,코미디,판타지","감독,시나리오(각본)",44605437017.0,6136928.0,44093407200.0,6065474.0
타짜,Tazza: The High Rollers,2006.0,한국,드라마,"감독,각색",0.0,6847777.0,36263483300.0,5692997.0
범죄의 재구성,The Big Swindle,2004.0,한국,스릴러,"감독,시나리오(각본)",0.0,2129358.0,6138742500.0,943241.0
