영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
기생충,PARASITE,2019,한국,드라마,"감독,음악진행,시나리오(각본)",87459829095.0,10313086.0,87463965795.0,10313519.0
설국열차,Snowpiercer,2013,"한국,체코","SF,액션","감독,시나리오(각본)-각본,스토리-스크린스토리",67010077500.0,9349991.0,67035020000.0,9353799.0
마더,Mother,2009,한국,드라마,"감독,시나리오(각본)-각본,스토리",20195373838.0,3013523.0,19990109800.0,2982025.0
도쿄!,Tokyo!,2008,"일본,한국,프랑스",드라마,"감독,시나리오(각본)",275955904.0,41198.0,278440500.0,41572.0
괴물,The Host,2006,한국,"SF,가족,드라마","감독,시나리오(각본)-각본",0.0,13019740.0,66717700300.0,10917400.0
플란다스의 개,Barking Dogs Never Bite,2000,한국,"드라마,코미디","감독,시나리오(각본)",0.0,57469.0,4416200.0,609.0
