영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
반도,Peninsula,2020,한국,"액션,드라마","감독,시나리오(각본)",33072531280.0,3812250.0,33078694380.0,3812954.0
염력,Psychokinesis,2017,한국,"드라마,코미디","감독,시나리오(각본)",7484644112.0,990104.0,7484644112.0,990104.0
부산행,TRAIN TO BUSAN,2016,한국,"액션,스릴러","감독,단역-관제실(목소리)역(목소리),각색",93178283048.0,11565479.0,93188162548.0,11567815.0
