영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
장수상회,Salut d’Amour,2014,한국,"멜로/로맨스,드라마","감독,각색",8729412643.0,1163575.0,8744702143.0,1167088.0
마이 웨이,My Way,2011,"한국,일본,중국","전쟁,액션,드라마","감독,기획,시나리오(각본)",15994803000.0,2142622.0,15995187000.0,2142670.0
태극기 휘날리며,TaeGukGi: Brotherhood Of War,2004,한국,"전쟁,드라마","감독,시나리오(각본),기획",0.0,11746135.0,15751201200.0,2553338.0
쉬리,Swiri,1999,한국,"액션,드라마,멜로/로맨스,미스터리","감독,시나리오(각본)",0.0,5820000.0,1014000.0,169.0
은행나무 침대,The Gingko Bed,1996,한국,"판타지,멜로/로맨스","감독,시나리오(각본)",0.0,452580.0,70000.0,9.0
