영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
그레이 맨,The Gray Man,2022,미국,"액션,스릴러",감독,277286160.0,29844.0,277286160.0,29844.0
어벤져스: 엔드게임,Avengers: Endgame,2018,미국,"액션,SF",감독,122182694160.0,13934592.0,122492181020.0,13977602.0
어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",감독,99919006769.0,11211880.0,100081428549.0,11233176.0
캡틴 아메리카: 시빌 워,Captain America: Civil War,2015,미국,"액션,SF,스릴러","감독,시나리오(각본)",72672111827.0,8677249.0,72686676527.0,8678761.0
캡틴 아메리카: 윈터 솔져,Captain America: The Winter Soldier,2014,미국,"액션,어드벤처,SF",감독,31710585385.0,3963220.0,31728426385.0,3964965.0
웰컴 투 콜린우드,Welcome To Collinwood,2002,미국,"코미디,범죄",감독,0.0,185324.0,79714000.0,12453.0
