영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
겨울왕국 2,Frozen 2,2019,미국,애니메이션,감독,114810421450.0,13747792.0,114843932550.0,13750668.0
겨울왕국,Frozen,2013,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",감독,82461504400.0,10296101.0,82544207680.0,10305051.0
서핑 업,Surf`s Up,2007,미국,"애니메이션,드라마,액션,가족",감독,0.0,294702.0,1672015500.0,282862.0
