영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
영웅,Hero,2022,한국,"드라마,뮤지컬","감독,시나리오(각본)",32243760781.0,3266556.0,32251253750.0,3267603.0
국제시장,Ode to My Father,2014,한국,드라마,"감독,제작,각색",110913469630.0,14257115.0,110947621230.0,14264478.0
해운대,Haeundae,2009,한국,"액션,드라마,어드벤처","감독,시나리오(각본),제작",81934638201.0,11453338.0,81028720000.0,11325117.0
1번가의 기적,Miracle on 1st Street,2007,한국,"드라마,코미디","감독,제작",0.0,2750457.0,15494122100.0,2535450.0
낭만자객,Crazy Assassins,2003,한국,코미디,"감독,시나리오(각본)-각본,제작",0.0,940134.0,312851500.0,48744.0
