영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
테넷,Tenet,2020,미국,"액션,SF",감독,18464298170.0,1998987.0,18601576670.0,2009304.0
덩케르크,Dunkirk,2017,"미국,영국","액션,드라마,스릴러,전쟁",감독,24576771848.0,2792705.0,24828837348.0,2813302.0
인터스텔라,Interstellar,2014,"미국,영국",SF,감독,82291089200.0,10275484.0,83072616000.0,10342523.0
인셉션,Inception,2010,미국,"드라마,미스터리",감독,44106546302.0,5926948.0,45099304940.0,6011861.0
다크 나이트,The Dark Knight,2008,미국,"범죄,드라마,액션,미스터리",감독,27059471306.0,4087355.0,28208421040.0,4228360.0
프레스티지,The Prestige,2006,"미국,영국",스릴러,감독,0.0,646184.0,2861257500.0,458956.0
배트맨 비긴즈,Batman Begins,2005,미국,"범죄,액션,판타지",감독,0.0,921300.0,5799228000.0,903202.0
