영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
신과함께-인과 연,Along with the Gods: The Last 49 Days,2017,한국,"판타지,드라마","감독,제작,시나리오(각본)",102666146909.0,12274996.0,102689349539.0,12278010.0
신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마","감독,시나리오(각본),제작",115698654137.0,14410754.0,115727528087.0,14414658.0
미스터 고,Mr. Go,2013,"한국,중국","코미디,드라마","감독,시나리오(각본)-각본,제작,기획,각색,편집",9337990000.0,1328890.0,9339014000.0,1329061.0
국가대표,Take Off,2009,한국,"드라마,액션,코미디","감독,시나리오(각본),기획",60896633308.0,8487894.0,57570773000.0,8035181.0
미녀는 괴로워,200 Pounds Beauty,2006,한국,"멜로/로맨스,코미디","감독,시나리오(각본)",0.0,6619498.0,36292848900.0,6081480.0
