영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
한산: 용의 출현,Hansan: Rising Dragon,2021,한국,"액션,드라마","감독,조연-권율역,제작,시나리오(각본)",73700628377.0,7264934.0,73700628377.0,7264934.0
명량,The Admiral: Roaring Currents,2013,한국,"사극,액션","감독,시나리오(각본)-각본,기획,제작",135748398910.0,17613682.0,135758658810.0,17615919.0
최종병기 활,War of the Arrows,2011,한국,"사극,액션","감독,시나리오(각본)",55827861500.0,7470633.0,55827861500.0,7470633.0
핸드폰,Handphone,2008,한국,스릴러,"감독,단역-심부름 센터남2역,각색",4271780582.0,630049.0,4221938000.0,622486.0
극락도 살인사건,Paradise Murdered,2007,한국,"공포(호러),미스터리,스릴러","감독,시나리오(각본)",0.0,2259511.0,13328932000.0,2079989.0
