영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
아바타: 물의 길,Avatar: The Way of Water,2022,미국,"액션,어드벤처,SF,스릴러",감독,137587341964.0,10801074.0,137639510854.0,10804506.0
아바타,Avatar,2009,미국,"SF,액션,어드벤처",감독,128447097523.0,13624328.0,125304346000.0,13338863.0
타이타닉,Titanic,1997,미국,"드라마,멜로/로맨스,액션",감독,0.0,1971780.0,11436767230.0,883847.0
트루 라이즈,True Lies,1994,미국,"스릴러,액션,어드벤처,코미디","감독,시나리오(각본)",0.0,874664.0,194000.0,76.0
터미네이터2 3D,Terminator II,1991,미국,"액션,SF,스릴러",감독,0.0,919444.0,135384820.0,14391.0
심연,The Abyss,1989,미국,"SF,드라마,스릴러,액션,어드벤처","감독,시나리오(각본)",0.0,80558.0,260000.0,45.0
에이리언 2,Aliens,1986,미국,"SF,액션","감독,시나리오(각본)",0.0,292436.0,15757000.0,2013.0
터미네이터,Terminator,1984,미국,"SF,액션",감독,0.0,318828.0,108000.0,24.0
